"Event","From","To","LengthMeters","DelaySeconds","Magnitude","PointCount","StartLongitude","StartLatitude","EndLongitude","EndLatitude"
"Stationary traffic","Old Faure Road (M44)","Pama Road (M44)","638","265","3","17","18,6593690139","-34,0115408577","18,6562174183","-34,0166437092"
"Stationary traffic","Airport Approach Road (N2)","Mew Way (N2)","8307","1498","3","114","18,5823668164","-33,9772233299","18,6606457454","-34,0130978136"
"Slow traffic","Khayelitsha [25]","Khayelitsha [25]","516","46","1","9","18,6635452133","-34,0146991369","18,6582934481","-34,0131836889"
"Stationary traffic","Lupin Street","Seder Street","188","103","3","4","18,6642801386","-33,9388865177","18,6646650356","-33,9372221531"
"Stationary traffic","Delft Main Road (Hindle Road)","Heidelberg Road (Hindle Road)","1595","467","3","43","18,6489311975","-33,9777034186","18,6656856161","-33,9803346485"
"Slow traffic","Heidelberg Road (Hindle Road)","Westbank Main Road (Hindle Road)","981","126","1","29","18,6679333073","-33,9801093818","18,6576000970","-33,9794361499"
"Stationary traffic","Bottelary Road (M23)","La Belle Road (M31)","85","83","3","12","18,6681371552","-33,9063687046","18,6672962826","-33,9064585833"
"Stationary traffic","Cecil Morgan Drive (M23)","La Belle Street (M23)","290","202","3","6","18,6703660709","-33,9070835580","18,6674397808","-33,9061380247"
"Stationary traffic","Van Blerk Street","Owen Road / Van Blerk Street","183","194","3","7","18,6707321924","-33,9293955036","18,6701555174","-33,9306507451"
"Stationary traffic","Distributor Road West (Spine Road/M32)","Lwandle Road (Spine Road/M32)","324","216","3","11","18,6681881171","-34,0408801834","18,6714697999","-34,0398555672"
"Queuing traffic","Belhar Drive (Stellenbosch Road/M12)","New Nooiensfontein Drive (Stellenbosch Road/M12)","1347","187","2","18","18,6572527510","-33,9545251158","18,6717930061","-33,9556422572"
"Stationary traffic","Stellenberg Road","Wilger Avenue","58","89","3","3","18,6719834429","-33,8855386981","18,6726043743","-33,8854622267"
"Stationary traffic","Caledon Road","O. Nqubelani Road","43","61","3","2","18,6722597104","-33,9927532796","18,6726767939","-33,9925709244"
"Stationary traffic","Hindle Road (Rotterdam Road)","Stellenbosch Arterial Road (Rotterdam Road)","350","293","3","15","18,6727076393","-33,9588770036","18,6718868834","-33,9558152362"
"Stationary traffic","Mew Way (Steve Biko Road)","Walter Sisulu Road (Steve Biko Road)","492","153","3","13","18,6696230990","-34,0511825417","18,6745194715","-34,0494243280"
"Stationary traffic","Stellenbosch Arterial Road (Rotterdam Road)","Hindle Road (Rotterdam Road)","509","294","3","15","18,6732212824","-33,9616692000","18,6746696752","-33,9659942364"
"Stationary traffic","Kensington Crescent","Canterbury Road / Royston Crescent","202","261","3","11","18,6730214578","-33,9548550175","18,6748708409","-33,9549032685"
"Stationary traffic","Hindle Road (Rotterdam Road)","Stellenbosch Arterial Road (Rotterdam Road)","471","243","3","13","18,6756325883","-33,9701301848","18,6746696752","-33,9659942364"
"Queuing traffic","Stellenbosch Arterial Road (Rotterdam Road)","Carinus Street (Rotterdam Road)","634","130","2","10","18,6768328768","-33,9402289591","18,6763339859","-33,9345962655"
"Stationary traffic","Carinus Street (Rotterdam Road)","Stellenbosch Arterial Road (Rotterdam Road)","1418","418","3","32","18,6767282706","-33,9303181764","18,6768288535","-33,9428320042"
"Queuing traffic","Rietvlei Road","Theyser Road","200","150","2","14","18,6772486192","-33,9342100251","18,6752543968","-33,9344796425"
"Queuing traffic","Stellenbosch Road (M12) / Ipswich Street","Sunbird N Drive","554","122","2","16","18,6783255261","-33,9563369520","18,6763339859","-33,9610294702"
"Stationary traffic","Govan Mbeki Road (Spine Road/M32)","Lansdowne Road (Spine Road/M32)","434","222","3","11","18,6754636091","-34,0392064937","18,6798208576","-34,0378144243"
"Slow traffic","N1 exit [27]","N1","445","28","1","10","18,6758592349","-33,8691115125","18,6802862209","-33,8675718954"
"Stationary traffic","Station Street","Hoof Street","242","211","3","9","18,6794332784","-34,0011003375","18,6803908271","-34,0030905265"
"Stationary traffic","Government Road","Mankayi Street","208","158","3","6","18,6804256958","-33,9914014511","18,6794614416","-33,9897143455"
"Stationary traffic","Fredericks Street","Highbury","174","92","3","6","18,6811726910","-33,9431713385","18,6798517030","-33,9430666874"
"Stationary traffic","Pinehurst","Summerwood Way","61","95","3","3","18,6826586348","-33,8361659194","18,6820001525","-33,8361230317"
"Stationary traffic","Old Paarl Road (Brackenfell Boulevard)","Goede Hoop Avenue (Brackenfell Boulevard)","993","242","3","24","18,6824856323","-33,8775041014","18,6829509956","-33,8685911414"
"Stationary traffic","N1 (Brackenfell Boulevard)","De Bron (Brackenfell Boulevard)","404","171","3","23","18,6831454557","-33,8618923602","18,6815978211","-33,8586267156"
"Stationary traffic","De Bron (Brackenfell Boulevard)","N1 (Brackenfell Boulevard)","715","175","3","16","18,6831454557","-33,8618923602","18,6829577011","-33,8683215940"
